porB,tbpB,ST
265,33,1812
1155,29,1813
1156,21,1814
1042,2,1815
1157,189,1816
1160,4,1817
1161,460,1818
1172,4,1819
160,440,1820
1162,112,1821
44,194,1822
1163,9,1823
59,195,1824
1164,18,1825
1159,29,1826
1165,126,1827
1166,195,1828
1167,10,1829
1168,457,1830
1047,458,1831
461,26,1832
1170,98,1833
241,14,1834
1169,459,1835
1158,66,1836
1173,186,1837
1174,4,1838
1047,4,1839
103,325,1840
1175,463,1841
1176,464,1842
1177,367,1843
1178,465,1844
1179,21,1845
208,4,1846
1180,156,1847
1181,234,1848
1182,4,1849
1183,110,1850
1184,25,1851
1185,10,1852
1186,4,1853
1187,35,1854
4,466,1855
90,24,1856
1188,29,1857
1189,4,1858
1034,386,1859
1024,429,1860
4,135,1861
7,29,1862
1190,360,1863
1191,29,1864
1192,32,1865
581,33,1866
184,119,1867
206,4,1868
161,58,1869
328,75,1870
1031,382,1871
3,27,1872
1014,4,1873
1015,4,1874
1193,467,1875
1194,29,1876
1195,156,1877
90,466,1878
1196,21,1879
1197,428,1880
1132,25,1881
903,4,1882
1198,468,1883
1199,328,1884
1200,75,1885
1201,32,1886
1202,469,1887
1203,156,1888
1049,470,1889
90,472,1890
1205,186,1891
1206,4,1892
543,10,1893
130,367,1894
505,453,1895
905,156,1896
161,129,1897
50,4,1898
4,217,1899
1207,78,1900
1207,16,1901
158,272,1902
328,119,1903
1204,473,1904
1208,367,1905
1209,110,1906
1210,328,1907
822,137,1908
953,33,1909
1211,35,1910
103,165,1911
1212,21,1912
103,419,1913
1006,25,1914
1215,5,1915
206,477,1916
159,478,1917
193,261,1918
1216,137,1919
1217,481,1920
1218,92,1921
1219,482,1922
1220,3,1923
1053,278,1924
1221,4,1925
1222,4,1926
251,483,1927
158,23,1928
1223,29,1929
161,295,1930
59,147,1931
4,91,1932
161,4,1933
3,91,1934
182,4,1935
28,21,1936
59,24,1937
1224,328,1938
242,367,1939
1225,4,1940
103,4,1941
1226,4,1942
1227,33,1943
90,107,1944
1228,118,1945
1229,135,1946
1230,476,1947
543,479,1948
1231,198,1949
1232,369,1950
90,8,1951
30,251,1952
1233,8,1953
13,135,1954
1234,21,1955
1235,29,1956
1236,4,1957
1237,26,1958
1238,485,1959
1239,21,1960
1240,156,1961
1241,21,1962
242,484,1963
1242,4,1964
90,487,1965
1244,21,1966
1245,4,1967
1246,75,1968
1247,488,1969
130,486,1970
130,4,1971
130,156,1972
1248,186,1973
1249,489,1974
147,186,1975
1250,10,1976
1256,4,1977
1259,4,1978
1264,4,1979
1252,4,1980
1255,491,1981
4,491,1982
1263,21,1983
1258,91,1984
467,33,1985
1252,26,1986
1251,26,1987
1255,147,1988
1262,24,1989
1253,189,1990
361,18,1991
1254,490,1992
1257,6,1993
1260,266,1994
1261,241,1995
543,156,1996
1266,156,1997
1267,21,1998
1243,493,1999
1268,58,2000
1269,494,2001
468,495,2002
1214,241,2003
1265,110,2004
543,135,2005
206,496,2006
90,492,2007
182,156,2008
1270,33,2009
256,119,2010
1271,25,2011
1272,4,2012
609,156,2013
1273,186,2014
1274,498,2015
1275,4,2016
1226,107,2017
182,29,2018
1276,27,2019
485,497,2020
